,0
0.9517,1
0.977,2
0.9828,3
0.976,4
0.9812,5
0.9868,6
0.9843,7
0.988,8
0.9891,9
0.9898,10
0.983,20
0.992,30
0.9879,40
0.9912,50
0.9886,60
0.9903,70
0.8925,80
0.9878,90
0.9862,100
0.9868,120
0.987,140
0.9889,160
0.9837,180
0.978,200
